Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Routenpunkt (Way);T;;49.40593986166666;8.685763626666667;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40602574888888;8.685912402222224;;;;;;;Original OSM
Routenpunkt (Way);T;;49.40606928259259;8.686094501481483;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40611281629629;8.68627660074074;;;;;;;Interpoliert (15m)
Haltestelle;W;Heidelberg, Stadtbücherei;49.40615635;8.6864587;;05:54:00;05:54:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (1m)
Routenpunkt (Way);T;Stadtbücherei;49.40616138;8.68658654;;;;;;;Interpoliert
Routenpunkt (Way);T;Stadtbücherei;49.406199145;8.68675116;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.40623439035714;8.686934437142856;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40626963571429;8.687117714285714;;;;;;;Original OSM
Routenpunkt (Way);T;;49.40629891269842;8.68728052063492;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40632818968254;8.687443326984127;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40635746666667;8.687606133333333;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40638653333333;8.687773066666667;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.4064156;8.68794;;;;;;;Original OSM
Routenpunkt (Way);T;Unbekannt;49.40644398;8.68810282;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40647236;8.68826564;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40650074;8.68842846;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40652912;8.68859128;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.4065575;8.6887541;;;;;;;Original OSM
Routenpunkt (Way);T;Unbekannt;49.40658935;8.688937899999999;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.4066212;8.6891217;;;;;;;Original OSM
Routenpunkt (Way);T;Unbekannt;49.406650766666665;8.689286599999999;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40668033333333;8.6894515;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.4067134;8.689636199999999;;;;;;;Original OSM
Routenpunkt (Way);T;;49.406737050000004;8.68977655;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.4067607;8.6899169;;;;;;;Original OSM
Routenpunkt (Way);T;;49.40678193;8.69003995;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40680316;8.690163;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40683402;8.6903436;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40686488;8.6905242;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40689574;8.6907048;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.406913945;8.690845841666667;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.406932149999996;8.690986883333332;;;;;;;Original OSM
Routenpunkt (Way);T;;49.40695961428571;8.691149826984127;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40698707857143;8.69131277063492;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40701454285715;8.691475714285714;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.40704480952381;8.691647714285713;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40707507619048;8.691819714285714;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40710534285714;8.691991714285713;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.407125801020406;8.692122733673468;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40714625918367;8.692253753061225;;;;;;;Original OSM
Haltestelle;W;Heidelberg, Seegarten;49.4071759;8.6923751;;05:55:00;05:56:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (3m)
Routenpunkt (Way);T;;49.40724208080809;8.69247224949495;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40730826161617;8.6925693989899;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40737444242426;8.69266654848485;;;;;;;Original OSM
Routenpunkt (Way);T;;49.407493431818196;8.692675386363637;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.407612421212136;8.692684224242424;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40773141060607;8.692693062121212;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.4078504;8.6927019;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.407928033333334;8.6926858;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40800566666667;8.6926697;;;;;;;Original OSM
Routenpunkt (Way);T;Unbekannt;49.40812806666666;8.692644866666667;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40822353333333;8.692625533333333;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.408319;8.6926062;;;;;;;Original OSM
Routenpunkt (Way);T;Unbekannt;49.4084365;8.692581050000001;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.408554;8.6925559;;;;;;;Original OSM
Routenpunkt (Way);T;;49.408652152083334;8.69255593125;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40875030416667;8.6925559625;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40884845625;8.69255599375;;;;;;;Original OSM
Routenpunkt (Way);T;;49.40893520416667;8.692626695833333;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.409021952083336;8.692697397916668;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.409108700000004;8.6927681;;;;;;;Original OSM
Routenpunkt (Way);T;;49.409170683333336;8.692859783333333;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40923266666667;8.692951466666665;;;;;;;Original OSM
Routenpunkt (Way);T;;49.409323549999996;8.693037816666665;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40941443333333;8.693124166666665;;;;;;;Original OSM
Routenpunkt (Way);T;;49.40951268472222;8.693176746527778;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40961093611111;8.693229326388888;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.4097091875;8.69328190625;;;;;;;Original OSM
Routenpunkt (Way);T;;49.409797624999996;8.6931594375;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.4098860625;8.69303696875;;;;;;;Interpoliert (15m)
Haltestelle;W;Heidelberg, Bismarckplatz;49.4099745;8.6929145;;05:58:00;06:00:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 31m) | Auf Route gesnappt (2m)
Routenpunkt (Way);T;Unbekannt;49.4099745;8.6929145;;;;;;;Original OSM
