Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Sudetenstraße;49.936748;8.743146;30.0;;;;;;Original OSM;176.6;1.12;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.93663;8.743126;30.0;;;;;;Interpoliert;176.7;0.84;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.936513;8.743107;30.0;;;;;;Interpoliert;176.8;0.8;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.936396;8.743087;30.0;;;;;;Original OSM;176.9;0.82;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.936296;8.743068;30.0;;;;;;Interpoliert;177.0;0.84;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.936197;8.74305;30.0;;;;;;Original OSM;177.1;0.86;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.936094;8.74303;30.0;;;;;;Interpoliert;177.2;0.88;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.935991;8.74301;30.0;;;;;;Interpoliert;177.3;0.87;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.935887;8.74299;30.0;;;;;;Interpoliert;177.4;0.84;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.935784;8.742971;30.0;;;;;;Original OSM;177.5;0.82;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.935666;8.742982;30.0;;;;;;Interpoliert;177.6;1.11;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.935549;8.742992;30.0;;;;;;Interpoliert;177.7;1.39;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.935431;8.743003;30.0;;;;;;Interpoliert;178.0;1.68;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.935313;8.743014;30.0;;;;;;Interpoliert;178.3;1.83;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.935195;8.743024;30.0;;;;;;Interpoliert;178.6;1.98;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.935077;8.743035;30.0;;;;;;Interpoliert;178.8;1.83;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.93496;8.743046;30.0;;;;;;Interpoliert;179.0;1.7;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.934842;8.743056;30.0;;;;;;Original OSM;179.2;1.56;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.934731;8.743057;30.0;;;;;;Interpoliert;179.4;1.91;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.93462;8.743058;30.0;;;;;;Interpoliert;179.6;2.25;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.93451;8.743059;30.0;;;;;;Interpoliert;180.0;2.27;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.934399;8.74306;30.0;;;;;;Original OSM;180.4;2.26;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.934286;8.743061;30.0;;;;;;Interpoliert;180.6;2.26;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.934174;8.743061;30.0;;;;;;Interpoliert;180.8;1.93;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.934061;8.743062;30.0;;;;;;Interpoliert;181.0;1.57;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.933949;8.743063;30.0;;;;;;Original OSM;181.2;1.54;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.933826;8.743077;30.0;;;;;;Interpoliert;181.4;1.52;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.933704;8.743091;30.0;;;;;;Interpoliert;181.6;1.49;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.933581;8.743105;30.0;;;;;;Interpoliert;181.8;1.17;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.933459;8.743119;30.0;;;;;;Interpoliert;182.0;0.88;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.933336;8.743133;30.0;;;;;;Original OSM;182.0;0.59;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.933214;8.743151;30.0;;;;;;Interpoliert;182.0;0.29;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.933092;8.74317;30.0;;;;;;Interpoliert;182.0;0.0;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.93297;8.743188;30.0;;;;;;Interpoliert;182.0;0.0;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.932848;8.743206;30.0;;;;;;Interpoliert;182.0;0.2;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.932726;8.743225;30.0;;;;;;Original OSM;182.0;0.39;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.932635;8.743246;30.0;;;;;;Interpoliert;182.1;0.59;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.932544;8.743266;30.0;;;;;;Interpoliert;182.2;0.75;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.932453;8.743287;30.0;;;;;;Original OSM;182.3;0.92;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.932345;8.743317;30.0;;;;;;Interpoliert;182.4;0.91;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.932238;8.743347;30.0;;;;;;Interpoliert;182.5;0.91;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;;49.932147;8.74337;30.0;;;;;;Interpoliert (15m);182.6;0.88;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.932055;8.743394;30.0;;;;;;Original OSM;182.7;0.89;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;;49.931948;8.743418;30.0;;;;;;Interpoliert (15m);182.8;0.86;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.931841;8.743442;30.0;;;;;;Original OSM;182.9;0.66;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.93171;8.743473;30.0;;;;;;Interpoliert;183.0;0.47;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.931593;8.743502;30.0;;;;;;Interpoliert;183.0;0.3;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.931476;8.74353;30.0;;;;;;Interpoliert;183.0;0.14;asphalt;residential;Sudetenstraße
Haltestelle;W;Messel Sudetenstraße;49.931476;8.74353;30.0;23:48:00;23:48:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (1m);183.0;0.0;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.931476;8.74353;30.0;;;;;;Interpoliert;183.0;0.0;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.931359;8.743558;30.0;;;;;;Interpoliert;183.0;0.0;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;Sudetenstraße;49.931242;8.743586;30.0;;;;;;Original OSM;183.0;0.0;asphalt;residential;Sudetenstraße
Routenpunkt (Way);T;;49.931174;8.743607;30.0;;;;;;Interpoliert (15m);183.0;-0.41;asphalt;residential;Sudetenstraße
